Timestamp,Frame,TriggerCount,CameraOK,EEG,EOG
94461.542284,,2,0,,
94461.552284,,2,0,,
94461.562284,,2,0,,
94461.572284,,2,0,,
94461.582284,,2,0,,
94461.592284,,2,0,,
94461.602284,,2,0,,
94461.612284,,2,0,,
94461.622284,,2,0,,
94461.632284,,2,0,,
94461.642284,,2,0,,
94461.652284,,2,0,,
94461.662284,,2,0,,
94461.672284,,2,0,,
94461.682284,,2,0,,
94461.692284,,2,0,,
94461.702284,,2,0,,
94461.712284,,2,0,,
94461.722284,,2,0,,
94461.732284,,2,0,,
94461.742284,,2,0,,
94461.752284,,2,0,,
94461.762284,,2,0,,
94461.772284,,2,0,,
94461.782284,,2,0,,
94461.792284,,2,0,,
94461.802284,,2,0,,
94461.812284,,2,0,,
94461.822284,,2,0,,
94461.832284,,2,0,,
94461.842284,,2,0,,
94461.852284,,2,0,,
94461.862284,,2,0,,
94461.872284,,2,0,,
94461.882284,,2,0,,
94461.892284,,2,0,,
94461.902284,,2,0,,
94461.912284,,2,0,,
94461.922284,,2,0,,
94461.932284,,2,0,,
94461.942284,,2,0,,
94461.952284,,2,0,,
94461.962284,,2,0,,
94461.972284,,2,0,,
94461.982284,,2,0,,
94461.992284,,2,0,,
94462.002284,,2,0,,
94462.012284,,2,0,,
94462.022284,,2,0,,
94462.032284,,2,0,,
94462.042284,,2,0,,
94462.052284,,2,0,,
94462.062284,,2,0,,
94462.072284,3,3,1,,
94462.082284,,3,0,,
94462.092284,,3,0,,
94462.102284,,3,0,,
94462.112284,,3,0,,
94462.122284,,3,0,,
94462.132284,,3,0,,
94462.142284,,3,0,,
94462.152284,,3,0,,
94462.162284,,3,0,,
94462.172284,,3,0,,
94462.182284,,3,0,,
94462.192284,,3,0,,
94462.202284,,3,0,,
94462.212284,,3,0,,
94462.222284,,3,0,,
94462.232284,,3,0,,
94462.242284,,3,0,,
94462.252284,,3,0,,
94462.262284,,3,0,,
94462.272284,,3,0,,
94462.282284,,3,0,,
94462.292284,,3,0,,
94462.302284,,3,0,,
94462.312284,,3,0,,
94462.322284,,3,0,,
94462.332284,,3,0,,
94462.342284,,3,0,,
94462.352284,,3,0,,
94462.362284,,3,0,,
94462.372284,,3,0,,
94462.382284,,3,0,,
94462.392284,,3,0,,
94462.402284,,3,0,,
94462.412284,,3,0,,
94462.422284,,3,0,,
94462.432284,,3,0,,
94462.442284,,3,0,,
94462.452284,,3,0,,
94462.462284,,3,0,,
94462.472284,,3,0,,
94462.482284,,3,0,,
94462.492284,,3,0,,
94462.502284,,3,0,,
94462.512284,,3,0,,
94462.522284,,3,0,,
94462.532284,,3,0,,
94462.542284,,3,0,,
94462.552284,,3,0,,
94462.562284,,3,0,,
94462.572284,,3,0,,
94462.582284,,3,0,,
94462.592284,,3,0,,
94462.602284,,3,0,,
94462.612284,,3,0,,
94462.622284,,3,0,,
94462.632284,,3,0,,
94462.642284,,3,0,,
94462.652284,,3,0,,
94462.662284,,3,0,,
94462.672284,,3,0,,
94462.682284,,3,0,,
94462.692284,,3,0,,
94462.702284,,3,0,,
94462.712284,,3,0,,
94462.722284,,3,0,,
94462.732284,,3,0,,
94462.742284,,3,0,,
94462.752284,,3,0,,
94462.762284,,3,0,,
94462.772284,,3,0,,
94462.782284,,3,0,,
94462.792284,,3,0,,
94462.802284,,3,0,,
94462.812284,,3,0,,
94462.822284,,3,0,,
94462.832284,,3,0,,
94462.842284,,3,0,,
94462.852284,,3,0,,
94462.862284,,3,0,,
94462.872284,,3,0,,
94462.882284,,3,0,,
94462.892284,,3,0,,
